:START_ID,:END_ID,:TYPE
Betterfly,Healthcare,SECTOR
Expert360,Recruiting,SECTOR
Trybe,Education,SECTOR
Permutive,Marketing,SECTOR
GoHealth,Healthcare,SECTOR
Hootsuite,Marketing,SECTOR
Nutanix,Infrastructure,SECTOR
Quanterix,Healthcare,SECTOR
Wix,Marketing,SECTOR
MadeiraMadeira,Retail,SECTOR
Melio,Finance,SECTOR
Linktree,Consumer,SECTOR
Shogun,Retail,SECTOR
Absci,Healthcare,SECTOR
Dooly,Sales,SECTOR
Groupon,Retail,SECTOR
Loggi,Logistics,SECTOR
Vroom,Transportation,SECTOR
Warby Parker,Consumer,SECTOR
Labelbox,Data,SECTOR
Perion,Marketing,SECTOR
iRobot,Consumer,SECTOR
Mejuri,Retail,SECTOR
Uberflip,Marketing,SECTOR
Doma,Finance,SECTOR
Article,Retail,SECTOR
Jam City,Consumer,SECTOR
10X Genomics,Healthcare,SECTOR
LEAD,Education,SECTOR
Zendesk,Support,SECTOR
On Deck,Education,SECTOR
RenoRun,Construction,SECTOR
RingCentral,Support,SECTOR
Healthcare.com,Healthcare,SECTOR
Unbounce,Marketing,SECTOR
Beyond Meat,Food,SECTOR
The Org,HR,SECTOR
Robinhood,Finance,SECTOR
Latch,Security,SECTOR
Vedantu,Education,SECTOR
Seegrid,Logistics,SECTOR
Nylas,Product,SECTOR
Outreach,Sales,SECTOR
Sendy,Logistics,SECTOR
The Predictive Index,HR,SECTOR
Sendy,Logistics,SECTOR
Stedi,Product,SECTOR
Glossier,Retail,SECTOR
Hash,Finance,SECTOR
Metigy,Marketing,SECTOR
Vee,HR,SECTOR
Ola,Transportation,SECTOR
Clearco,Finance,SECTOR
Imperfect Foods,Food,SECTOR
Shelf Engine,Food,SECTOR
Quantcast,Marketing,SECTOR
Sherpa,Travel,SECTOR
Ribbon,Real Estate,SECTOR
Career Karma,Education,SECTOR
Metromile,Finance,SECTOR
Laybuy,Finance,SECTOR
Allbirds,Retail,SECTOR
TextNow,Consumer,SECTOR
Rivian,Transportation,SECTOR
Vox Media,Media,SECTOR
Coinsquare,Crypto,SECTOR
Skai,Marketing,SECTOR
Shopify,Retail,SECTOR
McMakler,Real Estate,SECTOR
Fiverr,Other,SECTOR
InDebted,Finance,SECTOR
Outbrain,Marketing,SECTOR
Dover,Recruiting,SECTOR
Immutable,Crypto,SECTOR
Zymergen,Other,SECTOR
Pear Therapeutics ,Healthcare,SECTOR
Soluto,Support,SECTOR
